Tred_0,Tred_0_1,Tred_0_2,Tred_0_3,Tred_0_4,Tred_0_5,Tred_0_6,Tred_0_7,Tred_0_8,Tred_0_9,Tred_1,Dred_0,Dred_0_1,Dred_0_2,Dred_0_3,Dred_0_4,Dred_0_5,Dred_0_6,Dred_0_7,Dred_0_8,Dred_0_9,Dred_1,SMILES_part1,SMILES_part2
594.55,572.1629519,547.4119923,519.7278089,488.5169147,453.1603511,413.0123069,367.3986456,315.6153358,256.9267749,190.564,1.81,1.988737686,2.202301809,2.461699145,2.783099985,3.191266012,3.726126743,4.45648831,5.511890127,7.168572445,10.139128,C,CCCCCCCCC
617.7,594.1732404,568.4019784,539.6953071,507.3273094,470.5348117,428.5149629,380.4226218,325.3675353,262.4112879,190.564,1.64,1.803820336,2.003014826,2.249025799,2.55875073,2.958187047,3.489440343,4.225369651,5.303723333,7.01962948,10.139128,C,CCCCCCCCCC
126.192,111.1011575,95.27699853,79.54376725,64.47656457,50.48886958,37.88558862,26.8964967,17.69803592,10.42794059,5.1953,11.1839,11.70402775,12.26964962,12.87786602,13.52337645,14.19766756,14.88815097,15.57737499,16.24251736,16.85544874,17.3837,[He],N#N
132.86,112.3976143,93.64543211,76.60345339,61.27167816,47.65010642,35.73873816,25.53757339,17.04661211,10.26585431,5.1953,10.85,11.304813,11.79188216,12.31458619,12.87678569,13.48291194,14.13807584,14.84820307,15.62020253,16.46217847,17.3837,[He],[C-]#[O+]
150.687,127.1447708,105.6009992,86.0556852,68.50882879,52.96042999,39.41048879,27.8590052,18.3059792,10.7514108,5.1953,13.40742965,13.73379356,14.07352025,14.42740938,14.79632493,15.18120172,15.58305284,16.00297797,16.4421728,16.90193973,17.3837,[He],[Ar]
154.599,130.3784465,108.220156,88.12412845,70.09036394,54.11886244,40.20962394,28.36264845,18.57793596,10.85548648,5.1953,13.342189,13.67266291,14.01690734,14.37576118,14.75013196,15.14100309,15.54944181,15.97660841,16.42376647,16.89229465,17.3837,[He],O=O
305.322,254.5317448,208.3587307,166.8029578,129.864426,97.54313545,69.83908603,46.75227778,28.28271069,14.43038476,5.1953,6.856886685,7.364072807,7.935272636,8.582632786,9.321517647,10.17164365,11.15872881,12.31695277,13.69273337,15.35072156,17.3837,[He],CC
304.1282,274.3252243,241.4772382,207.174568,172.6620859,138.9281785,106.7675669,76.82652556,49.63599653,25.63621792,5.1953,10.6249063,11.11758644,11.75982108,12.53422126,13.41710006,14.37078921,15.33634024,16.22905611,16.94139306,17.3580555,17.3837,[He],O=C=O
373.1,310.1877919,253.0804146,201.7778679,156.2801519,116.5872665,82.69921186,54.61598788,32.33759457,15.86403195,5.1953,10.19,10.66658229,11.18093227,11.7374828,12.34137788,12.99862056,13.71625933,14.50262522,15.36763631,16.32319338,17.3837,[He],S
369.89,307.5535273,250.9652774,200.1252503,155.033446,115.6898646,82.09450604,54.24737028,32.14845736,15.79776726,5.1953,5,5.459609674,5.991542077,6.613057244,7.347245645,8.225696774,9.292777206,10.61277624,12.28244228,14.45433453,17.3837,[He],CCC
407.81,338.6633247,275.9355839,219.6267777,169.7369059,126.2659687,89.21396592,58.58089768,34.36676395,16.57156472,5.1953,3.879756788,4.28449891,4.761625207,5.330873035,6.019667227,6.867228948,7.931626384,9.302554917,11.126125,13.65725564,17.3837,[He],CC(C)C
425.125,352.8625364,287.326627,228.5172717,176.4344705,131.0782234,92.44853046,60.54539165,35.36880697,16.91877642,5.1953,3.922769613,4.330017387,4.809741552,5.381604081,6.072883359,6.922520779,7.988045354,9.358083017,11.17651695,13.69327789,17.3837,[He],CCCC
460.35,381.7382745,310.4812724,246.5789938,190.0314386,140.8386069,99.0004986,64.51711377,37.3884524,17.61451447,5.1953,3.271,3.636627203,4.072353203,4.598726547,5.244944853,6.053888788,7.09112117,8.462040847,10.34733775,13.08443825,17.3837,[He],CCC(C)C
469.659,389.3671225,316.5964688,251.3470391,193.6188332,143.4118513,100.7260932,65.56155907,37.91824881,17.79616246,5.1953,3.25991,3.624759502,4.059647863,4.585133262,5.230439309,6.038506442,7.075029189,8.445699392,10.33188983,13.07275902,17.3837,[He],CCCCC
507.82,420.6317023,341.6491442,270.8723255,208.3012463,153.9359065,107.7763063,69.82244548,40.07432418,18.53194235,5.1953,2.706,3.028871018,3.417832965,3.893622398,4.486364974,5.241498853,6.23080896,7.574572753,9.490488538,12.41668064,17.3837,[He],CCCCCC
540.2,447.1497086,362.8882664,287.4156733,220.7319295,162.8370349,113.7309895,73.41379334,41.88544635,19.14594857,5.1953,2.33,2.620690044,2.973595928,3.409160028,3.957550676,4.665144517,5.606963284,6.912587615,8.826317613,11.8692427,17.3837,[He],CCCCCCC
647.096,534.6363884,432.9033417,341.8968597,261.6169425,192.0635901,133.2368025,85.1365797,47.76292168,21.11582844,5.1953,17.873728,17.8236944,17.77389397,17.72432515,17.67498639,17.62587615,17.57699291,17.52833516,17.47990141,17.43169018,17.3837,[He],O
568.74,470.5157645,381.5959212,301.9804704,231.6694119,170.6627457,118.9604719,76.56259039,43.46910125,19.68000445,5.1953,2.031,2.293807801,2.614945448,3.014310671,3.521656576,4.183460594,5.076434712,6.336591409,8.229689154,11.3530824,17.3837,[He],CCCCCCCC
594.55,491.6414145,398.5046325,315.1396539,241.5464787,177.725107,123.6755387,79.39777386,44.89181247,20.15765451,5.1953,1.81,2.050809273,2.346559374,2.71653074,3.189847868,3.812576228,4.661953206,5.877783347,7.741182723,10.91184189,17.3837,[He],CCCCCCCCC
617.7,510.5858169,413.66357,326.9332593,250.394885,184.0484468,127.893945,81.93137935,46.16074998,20.58205686,5.1953,1.64,1.863037566,2.138078843,2.483784557,2.928572784,3.517842498,4.328684501,5.503000948,7.332935578,10.52930016,17.3837,[He],CCCCCCCCCC
44.4,41.72496665,39.38065462,37.37222158,35.70479614,34.38347811,33.41333867,32.7994206,32.54673842,32.66027866,33.145,24.1,22.78189925,21.34655997,19.92617743,18.61293715,17.46588775,16.52254668,15.81127578,15.36390301,15.23114256,15.508,[HH],[Ne]
126.192,116.8452428,107.2169704,97.42489352,87.58145563,77.79412454,68.16566447,58.7943906,49.77440731,41.19583117,33.145,11.1839,11.53575691,11.92255337,12.34100456,12.78652708,13.25281911,13.73143442,14.21139989,14.67895423,15.11751508,15.508,[HH],N#N
