BetaT,GammaT,BetaV,GammaV,SMILES_part1,SMILES_part2
1.01623,0.91325,1.0,1.0,C1CC1,FCC(F)(F)F
1.00036013,0.97942,1.0,1.0,FC(F)=C(F)C(F)(F)F,FC(F)(Cl)Cl
0.982965213,0.92312,1.0,1.0,FC(F)=C(F)C(F)(F)F,C=CCC
1.00387,1.00433,1.0,1.0,FC(F)=C(F)C(F)(F)F,FC1(F)C(F)(F)C(F)(F)C1(F)F
1.004939983,0.97467,1.0,1.0,FC(F)=C(F)C(F)(F)F,FC(F)(F)C(Cl)Cl
1.0,0.9404374,1.0,1.0003354,FCC(F)(F)F,FCC(F)(F)F
1.0,0.942583,1.0,1.002577,FC(F)(Cl)Cl,CC(F)F
1.0,0.9777321,1.0,1.0002214,FC(F)(Cl)Cl,FC(F)(Cl)Br
1.00226,0.96907,1.0,1.0,FC(F)(Cl)Cl,FC1(F)C(F)(F)C(F)(F)C1(F)F
1.0,0.9983405,1.0,1.0085162,FC(F)(Cl)Cl,FC(F)(Cl)C(F)(F)Cl
1.0,1.0044593,1.0,1.0018062,FC(F)(Cl)Cl,FC(Cl)(Cl)Cl
1.004328657,1.02787,1.0,1.0,FC(F)(Cl)Cl,CCOCC
1.0,1.0301898,1.0,1.0165841,FC(F)(Cl)Cl,FC(F)(Cl)C(F)(Cl)Cl
1.038507872,0.989,1.0,1.0,FC(F)(Cl)Cl,C1CCCCC1
1.011920423,1.03388,1.0,1.0,FC(F)(Cl)Cl,CCCCCCC
1.003482083,1.06084,1.0,1.0,FC(F)(Cl)Cl,CCCCCCCC
1.0,0.985,1.0,1.0,C=C(F)C(F)(F)F,FCC(F)(F)F
0.996300041,0.98112,1.0,1.0,C=C(F)C(F)(F)F,CC(F)F
1.0,0.987,1.0,1.0,C=C(F)C(F)(F)F,FC=CC(F)(F)F
0.992752904,0.93536,1.0,1.0,C=C(F)C(F)(F)F,CC(C)C
1.0,1.0134905,1.0,1.0025949,FCC(F)(F)F,COC
0.99957,0.99594,1.0,1.0,FCC(F)(F)F,CC(F)(F)F
1.0,0.992,1.0,1.0,FCC(F)(F)F,FC=CC(F)(F)F
1.0,0.9874736,1.0,1.0031148,FCC(F)(F)F,FC(Cl)C(F)(F)F
1.0,0.8937027,1.0,1.0051783,FCC(F)(F)F,CC(C)C
1.0,0.9869325,1.0,1.0011016,FCC(F)(F)F,FC(F)(Cl)Br
0.99958,1.00198,1.0,1.0,FCC(F)(F)F,FC(F)(F)CC(F)(F)F
1.0,0.8929711,1.0,1.0047311,FCC(F)(F)F,CCCC
1.0,1.0060512,1.0,1.0,FCC(F)(F)F,FC(F)CC(F)(F)F
1.0,0.9787038,1.0,1.0087988,FCC(F)(F)F,FC(F)(F)C(Cl)Cl
1.0,0.8993586,1.0,1.014659,FCC(F)(F)F,CCC(C)C
1.0,0.9692334,1.0,1.004749,FCC(F)(F)F,CC(F)(Cl)Cl
0.992270215,0.98889,1.0,1.0,FCC(F)(F)F,CO
1.029039495,0.98183,1.0,1.0,FCC(F)(F)F,CCO
0.99969,1.01217,1.0,1.0,COC,CCl
1.0,0.9671,1.0,0.969,COC,CC(C)C
0.972478849,1.1053,1.0,1.0,COC,O=S=O
1.0,0.9802,1.0,1.0,COC,C=CCC
1.0495933,0.86921,1.0,1.0,COC,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
0.98997,1.04344,1.0,1.0,COC,FC(F)(F)CC(F)(F)F
1.0,0.9645,1.0,1.0,COC,CCCC
0.98075,1.06804,1.0,1.0,COC,FC(F)C(F)C(F)(F)F
1.009839982,0.99219,1.0,1.0,COC,CCCCCC
1.0,1.0297,1.0,1.0203,COC,c1ccccc1
1.0,1.0921,1.0,1.0064,COC,CCCCCCCCCC
0.987361769,1.1448,1.0,0.9576,COC,CCCCCCCCCCCC
1.001251564,0.96404,1.0,1.0,CC(F)F,FC(F)(F)I
1.0,0.9906777,1.0,1.0077824,CC(F)F,FC(Cl)C(F)(F)F
1.0,0.9227117,1.0,1.0108869,CC(F)F,CC(C)C
1.0,0.9901133,1.0,1.0043071,CC(F)F,FC(F)(Cl)Br
0.999200639,0.93949,1.0,1.0,CC(F)F,C=C(C)C
0.997575891,0.91179,1.0,1.0,CC(F)F,CCCC
1.0,0.9504005,1.0,1.0203986,CC(F)F,FC(F)(Cl)C(F)(F)Cl
1.0,0.9210153,1.0,1.0250359,CC(F)F,CCCCC
1.0,0.946075,1.0,1.0320957,CC(F)F,FC(F)(Cl)C(F)(Cl)Cl
0.988660069,0.98828,1.0,1.0,CC(F)F,CO
1.031502073,0.97677,1.0,1.0,CC(F)F,CCO
0.99948027,0.97922,1.0,1.0,CCl,C=C(C)C
1.001999992,0.98459,1.0,1.0,FC(F)(F)I,CC(C)C
1.007049345,0.937,1.0,1.0,FC=CC(F)(F)F,CCCCC
1.0,1.0025158,1.0,1.0005123,FC(Cl)C(F)(F)F,CC(F)(F)Cl
1.0,0.9947,1.0,1.0,CC(C)C,C=C(C)C
1.0,0.996,1.0,1.0,CC(C)C,C=CCC
